Date	Last Price
4/21/17	2352.1
4/20/17	2355.84
4/19/17	2338.17
4/18/17	2342.19
4/17/17	2349.01
4/13/17	2328.95
4/12/17	2344.93
4/11/17	2353.78
4/10/17	2357.16
4/7/17	2355.54
4/6/17	2357.49
4/5/17	2352.95
4/4/17	2360.16
4/3/17	2358.84
3/31/17	2362.72
3/30/17	2368.06
3/29/17	2361.13
3/28/17	2358.57
3/27/17	2341.59
3/24/17	2343.98
3/23/17	2345.96
3/22/17	2348.45
3/21/17	2344.02
3/20/17	2373.47
3/17/17	2378.25
3/16/17	2381.38
3/15/17	2385.26
3/14/17	2365.45
3/13/17	2373.47
3/10/17	2372.6
3/9/17	2364.87
3/8/17	2362.98
3/7/17	2368.39
3/6/17	2375.31
3/3/17	2383.12
3/2/17	2381.92
3/1/17	2395.96
2/28/17	2363.64
2/27/17	2369.75
2/24/17	2367.34
2/23/17	2363.81
2/22/17	2362.82
2/21/17	2365.38
2/17/17	2351.16
2/16/17	2347.22
2/15/17	2349.25
2/14/17	2337.58
2/13/17	2328.25
2/10/17	2316.1
2/9/17	2307.87
2/8/17	2294.67
2/7/17	2293.08
2/6/17	2292.56
2/3/17	2297.42
2/2/17	2280.85
2/1/17	2279.55
1/31/17	2278.87
1/30/17	2280.9
1/27/17	2294.69
1/26/17	2296.68
1/25/17	2298.37
1/24/17	2280.07
1/23/17	2265.2
1/20/17	2271.31
1/19/17	2263.69
1/18/17	2271.89
1/17/17	2267.89
1/13/17	2274.64
1/12/17	2270.44
1/11/17	2275.32
1/10/17	2268.9
1/9/17	2268.9
1/6/17	2276.98
1/5/17	2269
1/4/17	2270.75
1/3/17	2257.83
12/30/16	2238.83
12/29/16	2249.26
12/28/16	2249.92
12/27/16	2268.88
12/23/16	2263.79
12/22/16	2260.96
12/21/16	2265.18
12/20/16	2270.76
12/19/16	2262.53
12/16/16	2258.07
12/15/16	2262.03
12/14/16	2253.28
12/13/16	2271.72
12/12/16	2256.96
12/9/16	2259.53
12/8/16	2246.19
12/7/16	2241.35
12/6/16	2212.23
12/5/16	2204.71
12/2/16	2191.95
12/1/16	2191.08
11/30/16	2198.81
11/29/16	2204.66
11/28/16	2201.72
11/25/16	2213.35
11/23/16	2204.72
11/22/16	2202.94
11/21/16	2198.18
11/18/16	2181.9
11/17/16	2187.12
11/16/16	2176.94
11/15/16	2180.39
11/14/16	2164.2
11/11/16	2164.45
11/10/16	2167.48
11/9/16	2163.26
11/8/16	2139.56
